127.0.0.1 - - [16/Feb/2023:10:41:12 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:41:15 +0530] "GET /Roverse/admin.jsp HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:41:15 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:46:28 +0530] "GET /Roverse/admin.jsp HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:46:28 +0530] "GET /Roverse/images/logo.png HTTP/1.1" 200 52974
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:47:22 +0530] "GET /Roverse/admin.jsp HTTP/1.1" 200 3248
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:47:44 +0530] "GET /Roverse/admin.jsp HTTP/1.1" 200 3257
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:48:00 +0530] "GET /Roverse/admin.jsp HTTP/1.1" 200 3258
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:48:31 +0530] "GET /Roverse/admin.jsp HTTP/1.1" 200 3390
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:51:32 +0530] "GET /Roverse/admin.jsp HTTP/1.1" 200 3688
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:51:32 +0530] "GET /Roverse/... HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:51:54 +0530] "GET /Roverse/admin.jsp HTTP/1.1" 200 4212
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:51:54 +0530] "GET /Roverse/... HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:52:50 +0530] "GET /Roverse/admin.jsp HTTP/1.1" 200 4010
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:52:50 +0530] "GET /Roverse/... HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:53:43 +0530] "GET /Roverse/admin.jsp HTTP/1.1" 200 4027
0:0:0:0:0:0:0:1 - - [16/Feb/2023:10:53:43 +0530] "GET /Roverse/... HTTP/1.1" 404 766
